"","owner","amount_token","bonus"
"1","0x000c7612303e3cb05aff68d3af1056954b26feb4",10000,5012.5
"2","0x0052bbdd26c78d5046a3d5eaa47eb84da78332a3",8153,2242.075
"3","0x00c0c72a1d45bb3704a9358282eec06746447778",3149,229.635
"4","0x00d04064b84599777e82130ce7369b9aedef0c64",0,0
"5","0x00feb32379a84bc54fafefc9e3faa03e626892f8",1100,624.25
"6","0x014032bd5d26d3208a8ff182aa3a139117f0438b",1000,466.25
"7","0x03f01a222c120923161bbc933c57276dd7c4f743",5500,2728.75
"8","0x040509d1168258496171ba8817500c46d6cdafca",0,0
"9","0x060b6e57c4fa6d4828051c6ccfae46149f2e1076",10861,5078.72750000001
"10","0x0680acf7ecce952bb54a7156e35446cbfc3a74c5",10000,4050
"11","0x070195706211c4c2ae5134329974f5748bcb8933",4000,230
"12","0x0725a084d97328dbba684d0f995162f6ee30006d",20628.47,7027.5338875
"13","0x0766053f1db632a0b29c5cbed33f12ee2875823c",2275,408.53125
"14","0x07685e1481b32a92d9cc264d86d024da9d5e94c3",1104,282.899999999999
"15","0x07739dfc55e8643960c7cf987d9258c087cab976",9799,3588.88375000002
"16","0x08cabc82bded9f25608df3c86fb4c754b80afede",3000,1721.25
"17","0x098bede5133f6da3d3d8fadc046d26980cc1ec50",1900.6,607.990375000001
"18","0x09ed6bf81372f212802a39e79c947194eb746b17",1551,313.16875
"19","0x0ad97b07d12524b521e0a4dc37d29d868e2359b8",1466,244.99125
"20","0x0b029f7b3dde3d77a079a8be8cf5beda66edd4df",3268,1110.7775
"21","0x0bf7a71a22b7ba291bf8ea3661f1d590515fc1ca",10425,6437.4375
"22","0x0c1633e0ba164a9def56d86d7c46afcbe4d28a77",1400,285.25
"23","0x0d08ca3bd68288cd1e3bbdd73c4bc0d8193add4c",751,0
"24","0x0d1bb2df143dc19b2abc6511cad79379e9b0e34c",5000,2175
"25","0x0d413542e648034f704394646f5ffb12022fc8d5",10000,4931.5
"26","0x0e9592026d936e0a9cc56fc6105736be5443029d",0,0
"27","0x0ea84866f5b23c6d16f6008316868f1a821384ed",1000,190
"28","0x0ef0f3132635de83f8a8f5034d29bfa2e1f8eb60",2827,24.73625
"29","0x0f0924a3a5111e7987a23a49af826d2ba431342e",10000,4150
"30","0x0f4455e082b96fde25ceafc06d5a08d85b14a43a",1000,532.5
"31","0x0f7f692bceb3255e344647aa0088abf08fd5f311",1001,620.560000000006
"32","0x0fb437eb9617e62d56ef95181f0c9ba8ea782abd",22506,9133.58125000002
"33","0x0fddc71429c2b45c37de2bbe0bf8bf93dfa556ea",4981.928,1877.6456975
"34","0x1010a821d34dd807ad5a3c7c92f17df4a457d55d",11270,4662.9625
"35","0x1018824b0ba0d4c200868696d8029be8ac25ecc3",2000,152.5
"36","0x109eaa8e64f3d20f9294b8a563148cf1e3e1b7b5",38653,9900.77999999999
"37","0x10f594fbeb64c3fd47999ef6a4a61392b6b9500d",1560,410.625
"38","0x12290165ba80fe6ad66656aa7f7565b3f8cb0a7c",2000,375
"39","0x122d8ca9218fa390a2b2a85e916907fbe77aa0e4",676,0
"40","0x1236337b6bc9133601342aaced1efe7710246adc",721,0
"41","0x1242d7e7c5d3c453fb601a2cc9db06aac832b1ab",3000,1477.5
"42","0x1261632966f8eb36d7fbb336d3e324ddb3d99b9e",2000,1227.5
"43","0x13207871399d2a012b40413544ed6536c1614539",19017,1077.03125
"44","0x133dc462a43ed04f46c9d5cffcf291e529f4633c",1160,85.60375
"45","0x13aff8dbeb98a8a90145668883b044c5edcd4d22",30000,250
"46","0x157670de008ec0d44bed498abcf80a6c94c6f4fd",1285,257.55875
"47","0x157b0f920a7d09aa28302d843919d9230bf95c20",9998,6186.26250000005
"48","0x15870af7a292ad698827182fdd11b083298a9990",20000,5931.4375
"49","0x15943e1951e0e3803cb62121315507fb5b054787",7326.9,2154.967375
"50","0x163a2240ea13b443f9d1d6eb14dbc3110946a8e7",675,0
"51","0x16649d4e4769617f274c745048ed528acabdac74",1000,401.25
"52","0x167d8b13698ffd8d6273532cdcbd0747e9f4cbb2",9000,3746.75
"53","0x16a0edb84a8bb06f29f6a481e99c0184e17329f6",5677,2280.19750000001
"54","0x1784ecb30d3f6c4648431a7a12683054c8c17feb",17496.5,5387.95874999999
"55","0x17fb2d9c79fc6c0a3deec9d1f9761df18e36f91d",3592,1341.43375
"56","0x1826a9845242e25755aa44af93804047b010c07d",947,0
"57","0x183aec83633dacd2501516a49f436283ee5ad100",16256,6163.77999999999
"58","0x1864fa4de30573d14b410fbd2140d2b724c261bb",2639,1095.66875
"59","0x189dd12ea4ea3d3e562882add73c6f0a23439999",3578,1488.97
"60","0x18a5991c6c1c300c7b6c23db983f367203b68f4b",2000,1157.5
"61","0x1a931a7f691ed222ad8980b98172863b95e8aaa2",4706,58.825
"62","0x1ab39022dadcf11cfbdf80c812333b5b40e6c1f8",10000,5012.5
"63","0x1ac8a6d59db3938ddbee19f4ec3ea8a0a771bf6e",24600,7997.52800000003
"64","0x1c496ed78215eac4978f02cca335ff3a358e1f35",18231,6400.45000000002
"65","0x1c94df027cec8ffd7650c02ea56be64e53a11540",10000,5012.5
"66","0x1cd36fcd2b84b171dd16f4bf507684442d2507ff",3000,1867.5
"67","0x1cec50e50c80b4aea5fd9bc7bf9fef5b407e2f9c",818,0
"68","0x1cfa1e4a08f0342e7aa6e6d5404ba6a54d029e8e",1374,503.593750000002
"69","0x1cff8d3e2bdc77ef7478f306d892568dfa9fc706",2000,690
"70","0x1d2012afedf3b01afba2e795d0b667ef725e576b",660,0
"71","0x1d83a82ec33a7687966f6ec6a56625bad59e2275",1194,147.7575
"72","0x1daf42373baf8c483aa8565a8584bc39ff4b58e2",6759,2414.125
"73","0x1dbac10d2db0263dbd6cb98cb4bf10f0d4bbec9f",3480,91.35
"74","0x1e0e8044e0015a01783159d47c829ab1674a02d5",5000,643.75
"75","0x1e39f940ff8c67c022fd86fb6c39f6fbfc887f3a",2990,900.737499999996
"76","0x1e49a4f0e5fd915353d720515fa86adee5f235ee",7400,92.5
"77","0x1eac8d565c1fed06fe069a5dba0fe3d9b3f63f31",1089.750602,189.3441670975
"78","0x1ee93bf13d1d1d876330b011b28c507e392bc5e1",0,0
"79","0x1f0047ad5e5ba9963f9430b2306b6856aa5b9b15",3200,1840
"80","0x1f0a3e4892f9c1a80ad4ea6b3c70c874bbc9733d",1169,669.252499999997
"81","0x1fbb18b4c0295c1bb110ef60a9f73fb50e1a060c",0,0
"82","0x1fbccf3f84e52ff6a5550e82f95c89f8a548e59e",0,0
"83","0x200f28a82317d84cd2932e4b6e7a9aa0376053d6",1010,55.55
"84","0x2021abf05ca0890e47e0376eb054622a74bbc931",1139,86.8487499999999
"85","0x216f4fa90c87ba00d2316fe613517946a049b0e1",8000,1610
"86","0x21bc6046109735a2caff1a58fd756dd96c2fc6ce",1652,654.748749999999
"87","0x22ba795aa1223f0c8fae2932f16f4b1f8b573163",8001,4545.56124999995
"88","0x22cf0ba59ab35e78d53ef7470adb08526f826d24",6553,2610.44249999998
"89","0x23fa9d92de584d5e176c7c9d992147a1ed626296",2695,3.36875
"90","0x2408d3e0ccdf6b5fd9e85d2975c89fdd6d6ae24f",2500,1534.375
"91","0x24685e4ec04724ed30209d5291aaf2330f5632e3",1195,301.7375
"92","0x24b2ec5a9895b242b52736bdedbcb5af5eaf0e14",547,0
"93","0x24f3e8c9ec86851151a50efee1650b48425aa51b",1553.1,613.428999999999
"94","0x2516b0ace669024178c47fe07dc288def36512cd",0,0
"95","0x27041f15c17ce73933d4e83d66cd0da4a803d826",5025,1066.97375
"96","0x271f8d801aca033be4697e556efd23bee82c0f9e",891,0
"97","0x281ecee6b2880e4c15813925c6e8018c0d962e03",999,0
"98","0x2820766519271fa0b056c060229dbc1e003c11a4",14000,5687.5
"99","0x2983a89a9905fe8fbd38616a1114e5fe7e833537",5000,2418.75
"100","0x2adbc63f1a72d33b8050521eca1b57d335bd9dbc",1190,25.2875
"101","0x2af42b754f0555a212752c6835caea25497d9fa0",2500,203.125
"102","0x2b4abb161d69c0bd3c54b48ad8a5403b52480a44",625.5,0
"103","0x2c7996f170cdeeae270f13d58e3e0d0ae1b9f388",863,0
"104","0x2dd4c1a081f3ce58217bf12edd297361b17b9c97",10774,6460.29750000002
"105","0x2e3bc8f3f3777481ac646d7e25ad06abf0abf873",5000,1835
"106","0x2e4e97b2306eba1464161c77302cd8f305f3a1fe",5095,604.815000000001
"107","0x2e86c1e969f3c121ed865cf4d7879744c9c353df",5253,439.938750000001
"108","0x2f6a4e02b596e16634d668a1dab3e52403e33524",1500,579.375
"109","0x30beedc1e4e3ffd24bda554b3857dada7e511d5c",0,0
"110","0x319e5933604797f8e6ee25b50aafe9111f6eb84a",701,0
"111","0x33b85a77025cd4ba00b4b8ad937f4c222496671b",1216.85800119,407.345491413111
"112","0x34299b301c764f19595c2f7ecc628ce8e64b8a43",1088,61.2
"113","0x34abfb2d3cc728de56146d38311f07b123eb9be4",3133.6,1122.572
"114","0x34e48262152dbedf0e72aeab97456e2f79938383",762,0
"115","0x3559f5a8682a89a6ef3a19cee9cd34bdd3660be5",625,0
"116","0x35ae572dadcbbee94ebff9115bec9c0bd24513fc",21038,12609.9650000001
"117","0x35d6b78c00fb3af621d847b815f4b46fd5ef51ca",1039,393.521249999999
"118","0x36d00dd95955298e930feacb105dab57990b8b86",3486.04,1564.36044999999
"119","0x370923a903d095f705472646699c59ef6f404e43",3400,1617.5
"120","0x383d8772263d9313df9d80c0b7373e2e45a65a50",1097.8,210.22875
"121","0x38465835ef497aa71cdda1c61a32739129338aa1",1451,255.41375
"122","0x39da80a7ca05bd1553b02c622539fec6c480905c",1715.5,335.57875
"123","0x3a3862f3007c805c5af9b6f5db7c1aec9411ac9f",2121,983.613750000001
"124","0x3aeedcd329e91e352d6c3d42c2b90d4e33a9e7d5",2000,565
"125","0x3b0f1ae0b47f1495fbaccb6a006f53febd280bed",800,0
"126","0x3b265369ec07ab42ffbed7774339dd52e1a85466",2000,1245
"127","0x3b6299f37916d48f646e29bfb4ed80dd4f4e8bb9",1300,248.625
"128","0x3b97872f6a7068e61dc2e58b94c2118f766905ef",1060,56.975
"129","0x3c2638dd1f80de379287dc171c27f2b5e56fc533",12719,2766.3825
"130","0x3c5dcd3f7c65472510147e115230920b78a77ffd",1500,548.125
"131","0x3d1516b9b32185f8327e6e2a1681be9b6334d18a",648,0
"132","0x3e165e9c790d0a8b568caedbcfae671b67732dfb",1094,276.235000000001
"133","0x3e482d18eed64e620cca80f41ad567a4925fff1c",735,0
"134","0x3e5a25490c18bc3ecb45097fba663c0dd9d5a9fc",3000,1871.25
"135","0x3e95e93ace1d56792d3ed326b3f20d32f050fd9f",1280,729.750000000005
"136","0x3eb80b10923f8cc6e519ffa337439c64808e9756",1660,433.674999999998
"137","0x411a567745ff295427cb744ae9b43dac7dfe0b27",12000,5489.37000000003
"138","0x41a4b3a933f8eb67a5a41b2071a87ee8056edb03",1800,1116
"139","0x4215611b5a3c6bdcad4b1eb85e002f90d4e4d221",4300,5.375
"140","0x4252eaad4ab33912f958f2593269c6abdd35913b",1300,98
"141","0x429a4565ba7bf13c45167cff4f1fce90d6e60226",1000,426.25
"142","0x4369e69faa062df342f3fac3ce15d145624e06ec",10000,5012.5
"143","0x43a9f264b04d0ad986515cac8141e17ac94223b0",0,0
"144","0x43f4bf1a87f0e238416832b5e3801d23c934f361",11528.913984,1841.096249925
"145","0x4601bf99cde8dacad4d6e50b77f12186ff544590",15000,7256.25
"146","0x4609dfe06eed72987ea66e6121119454e3f85daf",2200,46.75
"147","0x466da46d90fe2aeb9ef3bb4fee8803032b777a80",10000,5012.5
"148","0x466f92bb211d12794b5b0c78438864079e2cbfd5",43050,24753.75
"149","0x4679c6a025c3385e6b842dfa7a3d2831fa3b1ac5",1090.2,121.53675
"150","0x470d235ca1caff614abee02d98ac3aa89a6758bd",617,0
"151","0x475107454a3cdb8627a4072dd33066b4aa9644a3",561,0
"152","0x4758956bbf6ff6d362b1f0612403c7a045ca3998",2000,667.5
"153","0x47bbe214a4bc6bb2b2896eb280422af0c4198313",4115,1056.36
"154","0x4809be021730731a278a8cff86bad314535befdd",1000,490
"155","0x48c51e68bd96d8356c4819e51f6714d33d4ac576",4860,1094.17625
"156","0x49bb21634629470b87aa6d4a2d9da7085ffe801b",7500,4078.125
"157","0x49d443d89da0712b1d608eeaedef2650ab8b2206",20000,2925
"158","0x49e78b4321002e03ddc82445b7fbf35cb754f53b",3300,185.625
"159","0x4a52afa15986f9a6d477a72d67f2cf3bc93d0435",1761.34,340.4580125
"160","0x4a859f533554133a20a9d6d28287c88bdd7c080a",5425,3243.38
"161","0x4a9a3a0861a575607da522c31e70bad7074e2fb9",6274,1192.06
"162","0x4af727edb87f64b9d9797ea6db63a4d1af95567e",5725,1301.98375
"163","0x4c382faa935fd4ea598a6543c2e2a8cd2fcc2d15",1009,224.0125
"164","0x4d3dba4cb2336ca5c2c4dbb87531374c65005e8b",775,0
"165","0x4d488bd28b9afad41faa716421adfcc3b185c7f8",7189,602.07875
"166","0x4e9990e0c013f03c3ce0c0a93a97eef906dd8e44",900,0
"167","0x4f6d3a4e5523114d809fe58cafcb2305dc6c6f24",13739.04,4957.85909999999
"168","0x4f6d4691b0a586aa00bc5436e5d2373a0f238c9f",2980,860.475000000003
"169","0x50c998fc72261b0ea80cdce1eff9bc140485362a",1107,246.3075
"170","0x522810ed5c47b799f382ad54afee62cd3b221fde",1475,103.25
"171","0x5235e56f7241b05a648ada59006a9ab8cb402ab0",853.6,0
"172","0x53ffb1e7d0a4367227c7a5b7f4e25c68db8aaa31",0,0
"173","0x545c1fe027881d63ee2fa5de16ffd4af93b272cc",11362,6766.05124999993
"174","0x5496c8a338419aff9a68a86d9a3585c62b9c9e1c",6273,3059.18249999998
"175","0x54e44610812aec38ab87e8db68ec7829e04b3aab",1540,284.900000000001
"176","0x5532042c3cca388f686fcce901474d67ae18d472",5000,412.5
"177","0x55361272a635443387bbde798cfbea591933bc46",1169,64.67125
"178","0x55fbd7fa2c0a9f04a3fe82c7c056c69cffc98ec8",15000,881.25
"179","0x56288706345165023e8b55e3f9cec875e84c7dba",5000,2062.5
"180","0x5684013f99e978441dbaea718de6f56431cd413b",1450,10.875
"181","0x5777a8ec25fa9df67185668ba0f07789d7c31002",588,0
"182","0x57bdfbfc78352d59dfed4c2e3f63e0a2e7ae7bd3",900,0
"183","0x58d7f935745bc80f84b19a56f3f0fca22200a365",1020.94,56.1517
"184","0x591326490ad6dadb80116b04ddd521e57ba22e2c",5500.78,1061.303725
"185","0x5a30a3247737c7983decaa037782d9d0b223bc19",1000,173.75
"186","0x5a323e5865a12a933c288b1fd59dfe40bef2d97f",4702,571.195
"187","0x5a3b83ea4ce1976d24a46d4debdab4c9913124a8",3785,894.1225
"188","0x5a4935bdab9b1177d812a38b27973ffc9558bcc0",24329,6411.03750000002
"189","0x5a4ba9848bfa23f28eb8d4497b5ff211f5f27c3f",0,0
"190","0x5ab78616fcd44344cf0015647ddb31a069062910",2100,131.28125
"191","0x5ace659120f81a49845b6c608ca915b810a00c07",44120,7274.375
"192","0x5b01ac13b78fab35ebc606006de09ca3fc29c857",618,0
"193","0x5bd127d2ffc33ef3f4550596de8b9c3c8eb48cc5",1120,22.4
"194","0x5da53876a2b37b49ee42c34522c9fced42047658",14847,4842.2475
"195","0x5eac16c511e697f963a16109ca78f912c91b54ff",3870,1861.96250000001
"196","0x5eb1b8fcd1710b77f17df2a46dff9bf983a7b43c",3710,1360.86250000001
"197","0x5f304f1fe768c9285bab874c81da513e5bbf09a9",750,0
"198","0x5f3582b06b6697fd64e791ab7ace882fe66bc835",584.7,0
"199","0x5f90ebc41c07089502a32d683480ea3fe2410d34",18607,11107.705
"200","0x5fbde61a48800c7a739b2356971d0d63689362b5",597,0
"201","0x60833214571d47b966522f31eded711d82773845",844.5,0
"202","0x613f0b91a8e9ebcb8ddd527136bc21caad2c4981",734.67,0
"203","0x6172eea0b05cd39414968d204f4d6d44984b67d0",6755,3909.30625
"204","0x629cbcaaae418da37f4ed34f13637f809f75278b",1272.593381,258.7705509875
"205","0x62ea30cfe51b1d1e7f0a8d3244af46b3a91332f1",1000,260
"206","0x633ff2f3b6bc86047c33106d04cc02709767310a",1233.75,272.967187500001
"207","0x63f789c49920221bf484667632e9364d49185934",2555,1036.88375000001
"208","0x64e864c349c41fe31c571fda22ee6ddeab61f99d",1400,246.75
"209","0x65e5a35d4f8959fc35ce06e88cb196a1f9a4e900",3051.780711,310.04090087625
"210","0x668f831f08070133f53323018872f53779c84e41",9987,6166.97250000004
"211","0x66a912d66d4f8d21c43a8488a185adda7586d6e5",886.2,0
"212","0x66f8e605c54bc4dc8de1e8c08103b1f7a0cddeed",30187,5182.37375
"213","0x66fcd58fd7b33d0c929bb85dc1a70a426bc16a06",820,0
"214","0x67cffe5d9883057ac5b453b4d2c2c125fd7da137",20771,3198.8125
"215","0x67eea7a2e81f7228c98ea6ddb3bd4c4849a55554",58565.45552,512.4477358
"216","0x67fa73cb67a4d961c0d14faf45483899192d8ac3",21813.4,10359.32925
"217","0x6804430c7f755b090567cc8a68dad159b85fbe5c",3827,889.6375
"218","0x68d8db3683654dab114e377c42a07a5318202f5c",0,0
"219","0x6904b80d7b5967daf9a55a469e18c55ea75964e8",1193,68.5975
"220","0x6af5f4706c07e9b9743186bcebf1b55a9a31384d",1050,391.125
"221","0x6c14caafd35494fe1a956e621e7cdf1c629250f1",7881.23,2614.627375
"222","0x6c20fe5e057cbb478f3d7565df59d76c89656cd1",1100,83.875
"223","0x6cd5a004948c2f6298da3d733e8e4a4ad88fe9d6",1002,58.8675
"224","0x6d466e9b82deb578a96159a9aa3e03425dfb725f",26493.8,2899.45599999999
"225","0x6dbe1cebf019ac24a1966762097f873d0df25738",21805.028,10944.93340625
"226","0x6e1c5acbabaf0b3c73d4412c17c40d2f1d2e183b",2000,395
"227","0x70d216a60ab81c23c8d0f23a590c84e13ae24d78",1194.25,97.9253749999999
"228","0x7130f38655c04edb772a663b026caa5eaab42598",3000,1695
"229","0x718d6b39dc704f68a6318fe9a8bbe3fe9612cee7",634.02974,0
"230","0x71e487b7a21fb9a34f7d983f71301c7f68322cb1",1018,196.26625
"231","0x71fbe58b64f14854cf5a3645a67a72d10a09cae4",682,0
"232","0x724d4d1554aac30f9601bda87029a7de53804a25",2071,56.9525
"233","0x725079825ccac7d9150c3f005edc868d22ddfcca",5300,1636.375
"234","0x72788244f8b77408e123e145ef2d7ccb2528a007",1348,229.495
"235","0x72820345443b13b94899083ac6fef16ebd205c69",1645,515.498750000001
"236","0x73f31dc16df9bcd98b017b5a080d8d6b4eeda199",1045,365.125000000001
"237","0x7451d851a6da1b0633391f83e46a7406d5bb2a84",6311.6,1702.925475
"238","0x7490a38095d5424c101217b08b51edaaba950f82",9587,5255.60249999999
"239","0x74f55b8e1c86fc0519dc425977f6d457f5259ed2",620,0
"240","0x751d833e461a1a4d7c3431d512ac4245df7f0a03",4000,2479.90625
"241","0x75203bc03125befff8aed3b9fd687d8818a8b2e1",1640,6.15
"242","0x76018d681f2aa6e4702ca91209995277f3649a3e",3396,1396.60499999999
"243","0x76df81c2076016333477458d408aea4c526db828",1400,754.75
"244","0x77634ebd77c039fcb17f6320006d6a2729c4fb78",3110.4,598.592225
"245","0x77de6d98efd6f191b9760398def5ac2a2f4a6fa8",13900,729.75
"246","0x78dda0b5bc5e270769bd43a3aa57f90276728edb",2460.57,759.3275
"247","0x7907f40bb408ef847c2e099498d091c5e935bdc4",2607,117.315
"248","0x797bc1dafaeefea7055849cd7e3e2e6a045066cf",14034,7999.33375000002
"249","0x79892c59ed0325ee9c32b28633ff5410d1b37f8e",700,0
"250","0x7a75f008c92d94761ff156ef54d99133f3054be4",32623,14807.12375
"251","0x7a892e2877fec2fc996560d496fee79707a685af",2080,938.111250000008
"252","0x7ac2cc45c1968a48c93332f0e70466e1d5383e72",575.1,0
"253","0x7ace5f5faccab258b307eb8e9f4ac966a8b95514",596.5,0
"254","0x7ae9f90712be09f9cb5d760c31ddcafeb764c84b",800,0
"255","0x7b2c08606c9bbcbc2d5acee70deca0058051e9e1",5710,1033.3025
"256","0x7bf7cee586fb1a53a20d1e52681fb322f3a7ebdf",5000,925
"257","0x7c38d5055949c46e9a411c49e9142a1337462d69",759.45,0
"258","0x7c74305b99edada4fa9ad9ccbad2b0101bf97b36",1578,512.205
"259","0x7d356cf32f2ec43b5de67d7af55395278b10ca30",2226,19.44
"260","0x7d619b82c7f3a4d97410e73a93b4f0462c33fc9b",1221.94,322.4725375
"261","0x7dd400917b8e737518af9a14eb1a415b1d2b98c4",1001,546.796250000006
"262","0x7e4539fee52bf80790e503b4f8e1fa2802713480",3750,1420.63
"263","0x7f3b192ab3220940d66236792f3ebdb0e4e74138",9000,1640
"264","0x7f429af3849baa20cce12e24e3fd8543294959ca",1297.118266,213.72667806
"265","0x80cf520e4399439935e69085f577a229b8be75db",2212,68.555
"266","0x81e538bf790363fb140dea82c5d8590c649f2b90",547.5,0
